Year	Numbers	Deaths	Age
1992	546	1	0-19
1992	3141	4	20-29
1992	5875	4	30-39
1992	12731	8	40-49
1992	16230	3	50-59
1992	2175	3	60-69
1992	418	0	70-79
1992	24	0	80
1993	6278	0	0-19
1993	13026	1	20-29
1993	12380	2	30-39
1993	10449	4	40-49
1993	5452	7	50-59
1993	2534	2	60-69
1993	532	0	70-79
1993	27	0	80
1994	5166	0	0-19
1994	11204	4	20-29
1994	10774	1	30-39
1994	10539	4	40-49
1994	7037	4	50-59
1994	2448	4	60-69
1994	595	3	70-79
1994	27	0	80
1995	3711	1	0-19
1995	8086	4	20-29
1995	8078	2	30-39
1995	8740	4	40-49
1995	7762	11	50-59
1995	2253	3	60-69
1995	656	1	70-79
1995	35	0	80
1996	4374	0	0-19
1996	9456	3	20-29
1996	9157	4	30-39
1996	9659	4	40-49
1996	5531	4	50-59
1996	2326	4	60-69
1996	630	0	70-79
1996	33	0	80
1997	3009	0	0-19
1997	6849	2	20-29
1997	7098	2	30-39
1997	7934	3	40-49
1997	5533	4	50-59
1997	2176	2	60-69
1997	713	3	70-79
1997	37	0	80
1998	2316	0	0-19
1998	5035	1	20-29
1998	5172	4	30-39
1998	7846	8	40-49
1998	5328	8	50-59
1998	2931	2	60-69
1998	718	1	70-79
1998	35	0	80
1999	1753	1	0-19
1999	3265	2	20-29
1999	3286	2	30-39
1999	5371	3	40-49
1999	4881	4	50-59
1999	1962	4	60-69
1999	728	1	70-79
1999	43	0	80
